Title,Author,Year,Type of Prize,url
their analyses of markets with asymmetric information,"['George A. Akerlof', 'A. Michael Spence', 'Joseph E. Stiglitz']",2001		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2001/summary/
his part in the invention of the integrated circuit,"['Zhores Alferov', 'Herbert Kroemer']",2000		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2000/summary/
the discovery and development of conductive polymers,"['Alan Heeger', 'Alan MacDiarmid', 'Hideki Shirakawa']",2000		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2000/summary/
their discoveries concerning signal transduction in the nervous system,"['Arvid Carlsson', 'Paul Greengard', 'Eric Kandel']",2000		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2000/summary/
"an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama",['Gao Xingjian'],2000		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2000/summary/
"his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular",['Kim Dae-jung'],2000		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2000/summary/
his development of theory and methods for analyzing discrete choice,['James J. Heckman'],2000		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2000/summary/
elucidating the quantum structure of electroweak interactions in physics,"[""Gerardus 't Hooft"", 'Martinus J.G. Veltman']",1999		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1999/summary/
his studies of the transition states of chemical reactions using femtosecond spectroscopy,['Ahmed Zewail'],1999		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1999/summary/
the discovery that proteins have intrinsic signals that govern their transport and localization in the cell,['Günter Blobel'],1999		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1999/summary/
whose frolicsome black fables portray the forgotten face of history,['Günter Grass'],1999		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1999/summary/
in recognition of the organisation's pioneering humanitarian work on several continents,['Doctors Without Borders'],1999		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1999/summary/
his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas,['Robert Mundell'],1999		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1999/summary/
their discovery of a new form of quantum fluid with fractionally charged excitations,"['Robert B. Laughlin', 'Horst L. Störmer', 'Daniel C. Tsui']",1998		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1998/summary/
his development of computational methods in quantum chemistry,['Walter Kohn'],1998		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1998/summary/
their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,"['Robert F. Furchgott', 'Louis J. Ignarro', 'Ferid Murad']",1998		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1998/summary/
"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality",['José Saramago'],1998		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1998/summary/
their efforts to find a peaceful solution to the conflict in Northern Ireland,"['John Hume', 'David Trimble']",1998		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1998/summary/
his contributions to welfare economics,['Amartya Sen'],1998		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1998/summary/
development of methods to cool and trap atoms with laser light,"['Steven Chu', 'Claude Cohen-Tannoudji', 'William D. Phillips']",1997		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1997/summary/
"the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase","['Paul D. Boyer', 'John E. Walker']",1997		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1997/summary/
his discovery of Prions - a new biological principle of infection,['Stanley B. Prusiner'],1997		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1997/summary/
who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden,['Dario Fo'],1997		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1997/summary/
their work for the banning and clearing of anti-personnel mines,"['International Campaign to Ban Landmines', 'Jody Williams']",1997		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1997/summary/
a new method to determine the value of derivatives,"['Robert C. Merton', 'Myron Scholes']",1997		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1997/summary/
their discovery of superfluidity in helium-3,"['David M. Lee', 'Douglas D. Osheroff', 'Robert C. Richardson']",1996		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1996/summary/
their discovery of fullerenes,"['Robert F. Curl Jr.', 'Sir Harold Kroto', 'Richard E. Smalley']",1996		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1996/summary/
their discoveries concerning the specificity of the cell mediated immune defence,"['Peter C. Doherty', 'Rolf M. Zinkernagel']",1996		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1996/summary/
poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality,['Wisława Szymborska'],1996		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1996/summary/
their work towards a just and peaceful solution to the conflict in East Timor,"['Carlos Filipe Ximenes Belo', 'José Ramos-Horta']",1996		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1996/summary/
their fundamental contributions to the economic theory of incentives under asymmetric information,"['James A. Mirrlees', 'William Vickrey']",1996		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1996/summary/
the detection of the neutrino,['Martin L. Perl'],1995		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1995/summary/
"their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone","['Paul J. Crutzen', 'Mario J. Molina', 'F. Sherwood Rowland']",1995		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1995/summary/
their discoveries concerning the genetic control of early embryonic development,"['Edward B. Lewis', 'Christiane Nüsslein-Volhard', 'Eric F. Wieschaus']",1995		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1995/summary/
"works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past",['Seamus Heaney'],1995		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1995/summary/
"their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms","['Joseph Rotblat', 'Pugwash Conferences on Science and World Affairs']",1995		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1995/summary/
"having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy",['Robert E. Lucas Jr.'],1995		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1995/summary/
the development of the neutron diffraction technique,['Bertram N. Brockhouse'],1994		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1994/summary/
his contribution to carbocation chemistry,['George A. Olah'],1994		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1994/summary/
their discovery of G-proteins and the role of these proteins in signal transduction in cells,"['Alfred G. Gilman', 'Martin Rodbell']",1994		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1994/summary/
"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today",['Kenzaburo Oe'],1994		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1994/summary/
their efforts to create peace in the Middle East,"['Yasser Arafat', 'Shimon Peres', 'Yitzhak Rabin']",1994		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1994/summary/
their pioneering analysis of equilibria in the theory of non-cooperative games,"['John C. Harsanyi', 'John F. Nash Jr.', 'Reinhard Selten']",1994		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1994/summary/
"the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation","['Russell A. Hulse', 'Joseph H. Taylor Jr.']",1993		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1993/summary/
"his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies",['Kary B. Mullis'],1993		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1993/summary/
their discoveries of split genes,"['Richard J. Roberts', 'Phillip A. Sharp']",1993		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1993/summary/
"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality",['Toni Morrison'],1993		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1993/summary/
"their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa","['Nelson Mandela', 'F.W. de Klerk']",1993		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1993/summary/
having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,"['Robert W. Fogel', 'Douglass C. North']",1993		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1993/summary/
"his invention and development of particle detectors, in particular the multiwire proportional chamber",['Georges Charpak'],1992		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1992/summary/
his contributions to the theory of electron transfer reactions in chemical systems,['Rudolph A. Marcus'],1992		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1992/summary/
their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,"['Edmond H. Fischer', 'Edwin G. Krebs']",1992		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1992/summary/
"a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment",['Derek Walcott'],1992		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1992/summary/
her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples,['Rigoberta Menchú Tum'],1992		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1992/summary/
"having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour",['Gary Becker'],1992		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1992/summary/
"discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers",['Pierre-Gilles de Gennes'],1991		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1991/summary/
his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy,['Richard R. Ernst'],1991		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1991/summary/
their discoveries concerning the function of single ion channels in cells,"['Erwin Neher', 'Bert Sakmann']",1991		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1991/summary/
who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,['Nadine Gordimer'],1991		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1991/summary/
her non-violent struggle for democracy and human rights,['Aung San Suu Kyi'],1991		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1991/summary/
his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy,['Ronald H. Coase'],1991		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1991/summary/
"their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics","['Jerome I. Friedman', 'Henry W. Kendall', 'Richard E. Taylor']",1990		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1990/summary/
his development of the theory and methodology of organic synthesis,['Elias James Corey'],1990		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1990/summary/
their discoveries concerning organ and cell transplantation in the treatment of human disease,"['Joseph E. Murray', 'E. Donnall Thomas']",1990		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1990/summary/
"impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity",['Octavio Paz'],1990		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1990/summary/
the leading role he played in the radical changes in East-West relations,['Mikhail Gorbachev'],1990		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1990/summary/
their pioneering work in the theory of financial economics,"['Harry M. Markowitz', 'Merton H. Miller', 'William F. Sharpe']",1990		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1990/summary/
the development of the ion trap technique,['Norman F. Ramsey'],1989		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1989/summary/
their discovery of catalytic properties of RNA,"['Sidney Altman', 'Thomas R. Cech']",1989		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1989/summary/
their discovery of the cellular origin of retroviral oncogenes,"['J. Michael Bishop', 'Harold E. Varmus']",1989		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1989/summary/
"a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",['Camilo José Cela'],1989		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1989/summary/
advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people,['The 14th Dalai Lama'],1989		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1989/summary/
his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures,['Trygve Haavelmo'],1989		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1989/summary/
the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,"['Leon M. Lederman', 'Melvin Schwartz', 'Jack Steinberger']",1988		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1988/summary/
the determination of the three-dimensional structure of a photosynthetic reaction centre,"['Johann Deisenhofer', 'Robert Huber', 'Hartmut Michel']",1988		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1988/summary/
their discoveries of important principles for drug treatment,"['Sir James W. Black', 'Gertrude B. Elion', 'George H. Hitchings']",1988		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1988/summary/
"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind",['Naguib Mahfouz'],1988		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1988/summary/
preventing armed clashes and creating conditions for negotiations,['United Nations Peacekeeping Forces'],1988		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1988/summary/
his pioneering contributions to the theory of markets and efficient utilization of resources,['Maurice Allais'],1988		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1988/summary/
their important break-through in the discovery of superconductivity in ceramic materials,"['J. Georg Bednorz', 'K. Alex Müller']",1987		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1987/summary/
